Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Cyprus,"$30,798","$27,682","$29,206","$29,334","$26,609","$24,606","$23,408","$27,163","$27,729","$28,912","$32,396","$31,024","$32,109","$35,397","$31,245","$26,729","$24,959","$23,793","$20,252","$16,093","$14,821","$14,388","$15,288","$15,093","$14,234","$15,139","$15,261","$11,618","$10,526","$11,310","$9,696","$9,642","$8,039","$7,646","$6,691","$5,643","$4,488","$4,259","$4,091","$4,123","$4,033","$4,232","$2,559","$1,929","$1,476","$1,157",$976,,,,,,,,,,,,,,,
Spain,"$30,116","$27,056","$29,554","$30,365","$28,170","$26,523","$25,742","$29,501","$29,068","$28,323","$31,678","$30,532","$32,170","$35,511","$32,591","$28,389","$26,429","$24,907","$21,511","$17,107","$15,369","$14,750","$15,721","$15,394","$14,731","$16,109","$15,472","$13,415","$13,340","$16,112","$14,812","$13,805","$10,682","$9,703","$8,240","$6,514","$4,700","$4,490","$4,479","$5,160","$5,371","$6,209","$5,770","$4,356","$3,628","$3,279","$3,210","$2,750","$2,248","$1,709","$1,362","$1,212","$1,078",$951,$968,$890,$775,$675,$609,$520,$450,$396
Slovenia,"$29,201","$25,490","$25,943","$26,117","$23,514","$21,678","$20,890","$24,247","$23,503","$22,642","$25,128","$23,532","$24,792","$27,596","$23,818","$19,673","$18,099","$17,233","$14,849","$11,777","$10,480","$10,201","$11,453","$11,176","$10,455","$10,815","$10,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,"$28,239","$24,665","$33,872","$33,077","$32,371","$31,315","$31,699","$30,155","$28,769","$29,486","$28,006","$28,444","$28,553","$30,627","$31,472","$30,714","$30,279","$28,396","$28,328","$28,867","$27,486","$27,098","$26,130","$23,514","$22,036","$12,709","$12,239","$11,814","$11,407","$11,687","$11,920","$12,356","$12,163","$11,388","$11,157","$10,344","$9,893","$8,878","$7,698","$7,168","$6,625","$6,341","$5,533","$4,131","$3,617","$3,329","$3,156","$3,416","$3,696","$3,322","$3,297","$3,179","$3,215","$2,804","$2,557","$2,323","$2,145","$1,994","$1,867","$1,753","$1,651","$1,550"
Estonia,"$27,281","$23,054","$23,398","$23,064","$20,438","$18,295","$17,402","$20,261","$19,056","$17,403","$17,488","$14,663","$14,712","$18,205","$16,745","$12,639","$10,413","$8,914","$7,204","$5,342","$4,506","$4,071","$4,141","$4,093","$3,683","$3,381","$3,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech-republic,"$26,379","$22,933","$23,660","$23,420","$20,636","$18,575","$17,830","$19,891","$20,133","$19,871","$21,871","$19,960","$19,862","$22,805","$18,467","$15,262","$13,431","$11,750","$9,819","$8,061","$6,637","$6,029","$6,337","$6,490","$6,034","$6,533","$5,824","$4,631","$3,956","$3,373","$2,897","$3,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,"$24,262","$22,195","$23,331","$23,563","$21,490","$19,992","$19,250","$22,104","$21,653","$20,564","$23,217","$22,521","$23,151","$24,949","$22,811","$19,839","$18,780","$18,064","$15,798","$12,937","$11,735","$11,526","$12,475","$12,199","$11,576","$12,185","$11,781","$9,977","$9,535","$10,811","$8,959","$7,885","$6,056","$5,624","$4,804","$3,862","$2,705","$2,523","$2,735","$3,080","$3,246","$3,368","$2,756","$2,457","$2,267","$2,173","$2,128","$2,000","$1,748","$1,302","$1,065",$934,$796,$719,$647,$575,$521,$469,$433,$408,$383,$360
Turks-and-caicos-islands,"$24,047","$23,880","$31,351","$29,553","$27,545","$28,241","$26,184","$23,779","$21,715","$21,345","$21,839","$21,030","$22,020","$27,650","$25,458","$24,559","$20,533","$18,181","$16,385","$15,786","$16,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi-arabia,"$23,586","$20,204","$23,451","$24,229","$20,802","$19,879","$20,628","$24,464","$24,845","$25,244","$23,746","$19,263","$16,113","$20,078","$16,517","$15,385","$13,791","$11,185","$9,610","$8,695","$8,685","$9,171","$8,008","$7,419","$8,552","$8,336","$7,691","$7,421","$7,486","$7,932","$7,883","$7,246","$6,086","$5,856","$5,932","$6,304","$7,920","$9,633","$11,039","$13,945","$17,872","$16,978","$12,241","$9,283","$9,039","$8,203","$6,304","$6,437","$2,227","$1,512","$1,178",$921,$801,$777,,,,,,,,
Lithuania,"$23,433","$20,232","$19,576","$19,186","$16,885","$15,008","$14,264","$16,551","$15,730","$14,368","$14,377","$11,988","$11,821","$14,945","$12,285","$9,231","$7,855","$6,700","$5,499","$4,142","$3,526","$3,293","$3,113","$3,167","$2,830","$2,327","$2,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,"$22,232","$20,407","$23,552","$24,086","$23,743","$22,608","$22,634","$24,989","$24,744","$23,654","$22,514","$20,722","$19,356","$23,066","$20,976","$19,308","$17,959","$15,847","$14,222","$13,050","$12,868","$13,636","$10,402","$10,076","$10,672","$10,545","$10,377","$10,130","$9,698","$9,083","$9,056","$8,529","$8,031","$7,959","$7,555","$7,042","$8,707","$9,591","$9,421","$9,446","$9,269","$8,538",,,,,,,,,,,,,,,,,,,,
Slovak-republic,"$21,088","$19,267","$19,304","$19,390","$17,538","$16,512","$16,342","$18,656","$18,208","$17,430","$18,430","$16,842","$16,597","$18,754","$16,106","$13,171","$11,690","$10,691","$8,732","$6,565","$5,722","$5,427","$5,646","$5,539","$5,147","$5,197","$4,819","$3,771","$3,102","$2,921","$2,691","$2,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"$20,642","$17,704","$17,927","$17,865","$15,695","$14,332","$13,786","$15,742","$15,007","$13,847","$13,339","$11,421","$12,332","$16,467","$14,114","$9,723","$7,595","$6,379","$5,145","$4,137","$3,578","$3,362","$3,152","$2,974","$2,683","$2,432","$2,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
