Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Gambia,$836,$757,$773,$733,$680,$691,$661,$607,$701,$743,$763,$861,$833,$925,$780,$662,$666,$643,$336,$412,$505,$594,$638,$679,$669,$729,$696,$682,$712,$695,$695,$332,$310,$305,$265,$235,$299,$244,$305,$319,$333,$378,$336,$288,$239,$201,$213,$183,$148,$120,$117,$113,$100,$94,$109,$106,,,,,,
Rwanda,$834,$786,$820,$784,$772,$745,$751,$743,$723,$725,$669,$610,$580,$544,$439,$367,$332,$274,$250,$233,$239,$261,$287,$286,$288,$230,$222,$127,$315,$303,$270,$350,$330,$338,$318,$302,$279,$269,$260,$256,$264,$243,$223,$188,$160,$142,$131,$73,$71,$62,$58,$59,$52,$49,$47,$37,$46,$41,$41,$41,$41,$41
Guinea-bissau,$813,$728,$749,$803,$739,$661,$603,$623,$635,$616,$704,$558,$559,$600,$494,$430,$436,$405,$372,$333,$320,$309,$191,$179,$237,$243,$233,$221,$227,$222,$258,$250,$223,$176,$190,$146,$165,$163,$197,$204,$195,$142,$153,$159,$149,$146,$142,$130,$120,$120,$109,$112,,,,,,,,,,
Sudan,$764,$615,$755,$774,"$3,178","$2,583","$2,185","$2,023","$1,781","$1,746","$1,947","$1,683","$1,359","$1,551","$1,461","$1,144",$914,$712,$587,$512,$457,$366,$328,$355,$379,$301,$473,$450,$320,$261,"$1,668","$1,312",$857,$590,$510,$437,$361,$480,$391,$408,$509,$471,$492,$432,$507,$420,$348,$295,$237,$197,$187,$177,$160,$150,$148,$141,$141,$139,$139,$141,$133,$126
Chad,$696,$652,$710,$726,$666,$693,$776,"$1,020",$980,$967,$985,$893,$804,$929,$800,$710,$659,$454,$293,$221,$197,$166,$191,$225,$206,$222,$206,$174,$223,$296,$305,$292,$248,$265,$215,$204,$203,$185,$172,$177,$190,$229,$227,$257,$220,$208,$211,$163,$166,$153,$135,$129,$132,$130,$131,$128,$126,$121,$117,$115,$109,$104
Yemen,$691,$632,$751,$758,$964,"$1,153","$1,602","$1,674","$1,607","$1,447","$1,375","$1,335","$1,116","$1,229","$1,017",$921,$833,$710,$620,$580,$550,$554,$452,$384,$428,$374,$286,$291,$394,$499,$482,$482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,$673,$601,$672,$710,$721,$741,$722,$740,$748,$675,$597,$513,$471,$478,$397,$336,$295,$286,$243,$306,$307,$307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,$643,$636,$592,$545,$506,$316,$381,$371,$348,$392,$535,$479,$438,$388,$332,$308,$290,$283,$267,$298,$150,$156,$164,$166,$259,$228,$142,$121,$213,$186,$230,$200,$175,$160,$145,$154,$156,$173,$182,$180,$193,$198,$174,$161,$141,$121,$114,$105,$87,$82,$76,$62,$58,$55,$62,$61,$55,$48,$49,$48,$47,$45
Niger,$595,$568,$554,$571,$518,$500,$484,$565,$553,$530,$513,$477,$464,$479,$390,$336,$322,$286,$268,$228,$208,$198,$232,$251,$225,$245,$243,$211,$345,$395,$396,$438,$280,$302,$305,$267,$208,$217,$276,$318,$352,$419,$362,$314,$235,$200,$202,$204,$193,$156,$150,$144,$143,$150,$161,$174,$172,$153,$159,$148,$139,$133
Democratic-republic-of-congo,$584,$544,$597,$566,$467,$471,$497,$487,$458,$425,$387,$334,$299,$328,$286,$255,$218,$194,$174,$175,$154,$405,$103,$139,$139,$135,$136,$145,$276,$220,$268,$270,$270,$273,$243,$264,$241,$270,$388,$493,$464,$546,$587,$616,$509,$410,$447,$431,$363,$292,$272,$244,$259,$207,$184,$254,$233,$170,$377,$236,$197,$220
Sierra-leone,$516,$509,$522,$534,$497,$501,$588,$715,$717,$566,$448,$402,$391,$408,$360,$323,$292,$267,$266,$252,$229,$139,$150,$153,$196,$218,$202,$212,$178,$156,$179,$150,$219,$254,$174,$125,$225,$293,$275,$366,$322,$325,$335,$296,$218,$192,$224,$218,$197,$163,$150,$158,$152,$125,$134,$147,$143,$151,$144,$143,$139,$139
Madagascar,$515,$478,$526,$518,$515,$476,$467,$531,$541,$518,$531,$472,$468,$536,$439,$339,$320,$284,$369,$319,$334,$294,$280,$297,$297,$355,$285,$270,$321,$302,$273,$339,$282,$291,$302,$420,$378,$399,$493,$518,$531,$597,$409,$324,$295,$281,$302,$261,$231,$193,$177,$169,$165,$165,$157,$152,$144,$143,$138,$138,$134,$132
Central-african-republic,$511,$482,$468,$476,$451,$402,$377,$424,$380,$566,$552,$488,$477,$466,$405,$355,$331,$321,$294,$262,$251,$252,$281,$278,$276,$305,$346,$272,$420,$477,$479,$513,$449,$470,$454,$432,$340,$257,$274,$320,$307,$362,$327,$292,$249,$226,$193,$146,$143,$123,$109,$104,$106,$110,$96,$94,$92,$88,$82,$80,$81,$75
Mozambique,$500,$449,$507,$503,$461,$429,$590,$674,$664,$658,$595,$472,$520,$564,$482,$435,$417,$383,$326,$303,$296,$319,$347,$313,$284,$242,$187,$187,$190,$191,$273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,$446,$438,$419,$390,$384,$390,$386,$374,$350,,,,,,,,,,,,,,,,,,,,,,,$127,$153,$148,$147,$138,$132,$119,$111,$117,$107,$96,$100,$105,$104,$189,$183,$129,$144,$120,$95,$94,$90,$87,$84,$82,$79,$76,$74,$71,$68,$65
Burundi,$237,$234,$224,$238,$251,$252,$306,$275,$257,$252,$250,$234,$212,$198,$172,$167,$152,$128,$114,$123,$134,$136,$129,$144,$159,$143,$167,$157,$162,$190,$210,$208,$210,$209,$225,$246,$242,$214,$241,$231,$227,$221,$193,$155,$142,$119,$114,$95,$84,$69,$72,$70,$56,$55,$55,$52,$51,$86,$79,$73,$71,$70
Iran,,"$2,757","$3,514","$4,046","$6,032","$5,756","$5,201","$5,943","$6,443","$8,526","$8,389","$6,600","$5,710","$5,717","$4,905","$3,774","$3,246","$2,756","$2,254","$1,912","$1,909","$1,670","$1,757","$1,724","$1,804","$1,933","$1,569","$1,186","$1,067",,,"$2,214","$2,198","$2,318","$2,618","$4,245","$3,806","$3,569","$3,583","$3,008","$2,500","$2,441","$2,427","$2,169","$2,316","$2,017","$1,582","$1,454",$876,$570,$469,$385,$351,$319,$287,$265,$248,$221,$208,$203,$197,$192
Uae,,"$36,285","$42,701","$43,839","$40,645","$38,142","$38,663","$43,752","$42,413","$40,976","$39,195","$33,893","$32,024","$44,499","$41,809","$41,907","$39,365","$36,333","$33,499","$31,568","$31,281","$33,291","$28,471","$26,900","$29,513","$28,975","$27,222","$25,848","$25,597","$26,421","$26,612","$27,729","$24,028","$22,295","$23,726","$23,468","$29,721","$32,310","$34,843","$40,026","$44,988","$42,765","$33,513","$28,457","$33,823","$30,118","$26,848",,,,,,,,,,,,,,,
Kiribati,,"$1,515","$1,513","$1,694","$1,649","$1,586","$1,535","$1,626","$1,711","$1,783","$1,725","$1,509","$1,312","$1,428","$1,374","$1,168","$1,215","$1,131","$1,016",$827,$735,$797,$832,$801,$842,$843,$725,$715,$620,$638,$645,$550,$580,$622,$500,$490,$502,$657,$613,$666,$688,$653,$729,$785,$683,$735,$999,"$1,576",$592,$359,$294,$280,,,,,,,,,,
Puerto-rico,,"$31,430","$32,851","$31,605","$31,109","$30,627","$29,763","$28,981","$28,513","$27,945","$27,279","$26,436","$25,769","$24,898","$23,665","$22,936","$21,959","$20,989","$19,557","$18,731","$18,123","$16,192","$15,221","$14,304","$12,818","$12,173","$11,579","$10,876","$10,212","$9,659","$9,064","$8,653","$8,033","$7,595","$6,980","$6,455","$6,008","$5,730","$5,218","$5,115","$4,921","$4,503","$4,025","$3,568","$3,209","$2,946","$2,738","$2,615","$2,432","$2,246","$2,044","$1,852","$1,662","$1,481","$1,335","$1,208","$1,111","$1,006",$932,$855,$777,$718
Bhutan,,"$3,001","$3,323","$3,243","$3,287","$2,931","$2,753","$2,652","$2,473","$2,539","$2,563","$2,258","$1,819","$1,828","$1,757","$1,331","$1,228","$1,068",$962,$846,$764,$718,$691,$644,$638,$560,$543,$487,$424,$449,$450,$542,$507,$534,$491,$399,$352,$355,$356,$330,$333,$316,,,,,,,,,,,,,,,,,,,,
American-samoa,,"$12,845","$11,715","$11,522","$11,004","$12,038","$12,060","$11,525","$11,451","$11,497","$10,223","$10,217","$11,910","$9,741","$8,875","$8,341","$8,395","$8,528","$8,807","$8,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,"$24,812","$32,373","$33,399","$29,759","$27,653","$29,870","$44,062","$49,388","$51,979","$48,632","$38,577","$37,562","$55,495","$45,782","$42,782","$35,591","$27,012","$22,148","$17,846","$16,587","$18,440","$15,435","$14,166","$17,749","$19,358","$16,932",,,,"$5,420","$8,795","$11,617","$10,169","$11,535","$9,771","$12,357","$13,133","$13,234","$14,312","$17,409","$20,924","$19,093","$12,663","$12,254","$12,093","$11,768","$13,522","$5,972","$5,225","$4,859","$3,861","$4,020","$4,208","$4,231","$4,571","$4,443",,,,,
Turkmenistan,,,"$7,612","$6,967","$6,587","$6,388","$6,433","$7,962","$7,304","$6,675","$5,650","$4,439","$4,036","$3,904","$2,600","$2,136","$1,704","$1,454","$1,284",$968,$774,$643,$549,$590,$563,$555,$590,$622,$793,$821,$847,$865,$839,$862,$686,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe-islands,,"$66,321","$67,154","$65,573","$61,455","$58,225","$53,310","$60,484","$55,892","$50,465","$52,267","$48,579","$48,012","$52,035","$48,785","$42,154","$36,756","$35,887","$31,625","$27,022","$24,724","$22,857","$24,372","$24,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,"$23,384","$31,136","$30,254","$29,348","$28,454","$28,399","$26,895","$26,442","$25,497","$25,850","$24,134","$25,171","$28,048","$26,452","$24,495","$23,591","$22,834","$21,070","$20,654","$20,418","$20,615","$19,357","$19,081","$17,927","$16,583","$16,442","$16,242","$14,942","$14,048","$13,495","$12,305","$11,396","$9,770","$7,887","$6,474",,,,,,,,,,,,,,,,,,,,,,,,,,
New-caledonia,,"$34,695","$34,789","$36,382","$33,977","$32,391","$32,520","$39,676","$38,503","$37,294","$40,698","$37,495","$35,391","$37,354","$36,865","$29,604","$26,862","$25,771","$21,817","$16,886","$15,174","$16,039","$17,436","$17,324","$16,340","$18,257","$18,721","$16,037","$15,297","$16,262","$15,133","$14,801","$13,092","$12,666","$9,272","$7,635","$5,535","$5,249","$5,540","$6,209","$6,818","$8,443","$7,561","$6,153","$6,159","$5,958","$6,163","$4,866","$4,220","$4,038","$3,450","$3,204","$2,530","$2,166","$1,866","$1,756","$1,763",,,,,
French-polynesia,,"$20,183","$21,512","$22,095","$21,127","$20,020","$19,500",,,,,,,,,,,,,,,"$14,351","$16,069","$16,301","$15,722","$17,788","$18,262","$16,444","$16,123","$17,170","$16,039","$15,914","$13,470","$14,052","$13,630","$12,660","$8,514","$8,006","$7,978","$7,908","$8,103","$8,886","$8,169","$6,970","$5,670","$5,402","$5,260","$4,376","$3,516","$2,756","$2,595","$2,299","$2,274","$2,512","$2,210","$2,230","$1,889",,,,,
Tonga,,"$4,625","$4,903","$4,741","$4,513","$4,158","$4,336","$4,354","$4,428","$4,582","$4,003","$3,528","$3,007","$3,332","$2,910","$2,873","$2,594","$2,302","$2,031","$1,846","$1,839","$2,091","$2,044","$1,974","$2,225","$2,307","$2,176","$2,047","$1,449","$1,437","$1,388","$1,195","$1,121","$1,128",$866,$725,$640,$685,$649,$663,$666,$573,$484,$455,$378,$337,$368,,,,,,,,,,,,,,,
Afghanistan,,$517,$494,$486,$517,$512,$556,$614,$624,$639,$591,$543,$437,$365,$360,$264,$242,$211,$191,$179,,,,,,,,,,,,,,,,,,,,,$264,$273,$276,$247,$224,$197,$187,$174,$143,$135,$160,$157,$129,$129,$161,$138,$101,$82,$79,$58,$60,$60
Cuba,,"$9,478","$9,126","$8,824","$8,541","$8,061","$7,694","$7,133","$6,838","$6,497","$6,140","$5,306","$5,120","$5,010","$4,823","$4,337","$3,787","$3,396","$3,197","$2,999","$2,838","$2,747","$2,559","$2,331","$2,308","$2,287","$2,795","$2,625","$2,073","$2,057","$2,278","$2,703","$2,573","$2,641","$2,451","$2,379","$2,270","$2,396","$2,225","$2,108","$2,036","$2,022","$2,000","$1,835","$1,473","$1,443","$1,379","$1,224","$1,088",$901,$780,$653,,,,,,,,,,
Isle-of-man,,,"$86,482","$89,113","$83,478","$82,197","$85,127","$92,335","$83,357","$79,148","$77,349","$69,767","$65,029","$70,986","$54,196","$42,108","$37,767","$35,495","$29,522","$24,864","$21,351","$20,323","$20,625","$18,450","$15,991","$14,036","$12,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint-maarten-dutch-part,,,,"$28,988","$29,369","$31,617","$32,275","$33,044","$27,943","$28,460","$27,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,"$16,110","$19,024","$18,956","$18,789","$18,882","$19,260","$19,553","$19,763","$19,887","$19,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,"$54,570","$53,256","$54,545","$50,767","$48,182","$44,536","$50,485","$47,536","$45,937","$47,187","$43,988","$44,919","$44,367","$39,781","$35,458","$32,490","$32,023","$27,460","$20,653","$19,275","$19,004","$20,170","$20,497","$19,145","$21,422","$21,666","$18,124","$16,797","$18,769","$18,315","$18,327","$16,814","$16,398","$14,554","$11,271","$7,761","$7,199","$7,988","$7,814","$8,544","$9,483","$8,481","$7,236","$5,714","$4,845","$4,258","$3,433","$2,860","$2,197","$1,877","$1,498",,,,,,,,,,
San-marino,,"$45,516","$47,727","$48,997","$45,399","$43,828","$42,663","$50,817","$51,571","$49,988","$57,298","$60,255","$66,703","$78,644","$72,698","$64,261","$60,901","$59,559","$51,270","$41,465","$38,731","$36,604","$40,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,"$173,688","$189,487","$185,979","$167,517","$170,029","$165,990","$189,432","$177,674","$157,520","$169,016","$150,738","$154,775","$185,786","$169,966","$134,049","$124,197","$123,523","$108,657","$90,507","$83,724","$82,365","$91,283","$92,999","$90,833","$101,212","$101,867","$89,378","$85,397","$91,671","$83,722","$84,304","$68,584","$68,441","$63,078","$52,159","$37,552","$36,383","$38,893","$41,372","$44,370","$51,515","$45,845","$38,349","$31,430","$28,811","$28,248","$22,713","$21,418","$16,735","$13,813","$12,478",,,,,,,,,,
Cayman-islands,,"$85,347","$91,513","$86,181","$81,513","$78,472","$76,284","$74,990","$73,515","$72,777","$72,330","$73,352","$77,400","$85,188","$85,433","$82,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,"$14,244","$15,232","$15,895","$16,020","$16,836","$15,876","$13,712","$12,561","$12,044","$11,095","$10,357","$10,253","$10,599","$10,381","$9,843","$9,627","$8,317","$7,771","$8,308","$8,092","$7,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian-arab-republic,,,,"$1,266",$956,$713,$979,"$1,180","$1,152","$2,159","$3,492","$11,821","$10,590","$10,554","$9,057","$8,070","$7,309","$6,331","$5,495","$5,301","$5,175","$4,911","$4,557","$4,514","$4,377","$4,171","$3,546","$3,232","$2,717","$2,510","$2,166","$1,921","$1,540","$1,414","$2,864","$2,314","$1,991","$1,865","$1,879","$1,827","$1,811","$1,463","$1,151",$990,$854,$823,$739,$583,$366,$355,$319,$280,$293,$263,$251,$238,$247,$258,$238,$228,$200,$188
Northern-mariana-islands,,,"$20,660","$22,887","$27,585","$21,891","$16,314","$15,045","$14,091","$13,737","$13,497","$14,804","$14,670","$17,191","$16,988","$17,715","$18,763","$21,139","$21,379","$21,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,"$34,624","$38,041","$36,557","$36,602","$36,214","$35,829","$34,843","$33,656","$32,908","$31,210","$31,040","$30,321","$29,289","$27,681","$26,713","$26,596","$24,473","$22,628","$21,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,"$169,049","$176,499","$171,254","$165,642","$167,313","$178,865","$173,030","$149,010","$158,130","$141,193","$126,097","$143,264","$130,656","$114,374","$105,399","$100,289","$89,860","$79,346","$74,287","$74,854","$81,307","$76,757","$72,209","$79,863","$78,632","$64,051","$55,794","$55,198","$50,886","$49,374","$39,369","$41,292","$37,824","$28,287","$19,390","$18,596","$19,561","$19,677","$19,507","$20,660","$19,761","$17,499","$12,412","$11,386","$10,513","$8,440","$7,355","$5,638","$4,827","$4,236",,,,,,,,,,
Virgin-islands-us,,"$39,552","$38,596","$36,654","$35,365","$35,325","$34,007","$33,045","$34,598","$37,795","$38,997","$39,905","$38,753","$39,152","$44,159","$41,377","$40,829","$35,006","$31,731","$30,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
